STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 16:00,1.02, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 17:00,6.35, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 18:00,4.83, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 19:00,5.33, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 20:00,6.60, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 21:00,7.62, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 22:00,2.79, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110126 23:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110127 00:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110127 01:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110128 10:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110128 11:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110128 12:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110128 13:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110128 14:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110128 15:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110128 16:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110129 15:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110131 20:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110131 21:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110131 22:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 00:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 01:00,0.00,g, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 02:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 03:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 04:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 05:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 06:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 07:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 08:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 09:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 10:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 11:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 12:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 21:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 22:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110201 23:00,0.76, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 00:00,2.03, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 01:00,2.54, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 02:00,5.84, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 03:00,4.32, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 04:00,2.79, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 05:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 06:00,1.02, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 07:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 08:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 09:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110202 10:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 01:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 02:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 03:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 04:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 05:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 06:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 07:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 08:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 09:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 10:00,1.02, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 11:00,1.27, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 12:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 13:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 14:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 15:00,0.25, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 16:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 17:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 19:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110205 20:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110207 20:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110207 21:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110208 03:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110208 04:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110209 20:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110209 21:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110209 22:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110209 23:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110210 00:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110210 01:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110220 21:00,0.76, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110220 22:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110220 23:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 00:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 06:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 11:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 12:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 17:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 18:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 19:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 20:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 21:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 22:00,1.78, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110221 23:00,2.79, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110222 00:00,1.78, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110222 01:00,3.30, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110222 02:00,2.54, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110222 03:00,1.02, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110222 04:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110222 05:00,0.76, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110222 06:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110224 17:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110224 18:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110224 19:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110224 20:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110224 23:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110225 00:00,0.51, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110225 01:00,1.52, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110225 02:00,0.76, , 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110225 03:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110225 05:00,0.00,T, 
COOP:180465,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.1733,-76.684,20110225 06:00,0.25, , 
